date_added;id;name;brand;owner;condition;condition_desctription;retail_price;tc_price;sold
2023-06-15;outfit.233cc1a575934df38cc3c307901345e5;L Serena Dark Sapphire;Samsøe Samsøe;FJONG;4 - Minor defects;Flekk bak som ikke går vekk;2000;600.0;True
2023-12-12;outfit.234ce093695f4773aba7287620cee9ca;M Ferdinand Dress;IBEN;IBEN (Storheil Agency);4 - Minor defects;;2200;700.0;True
;outfit.23bf2c58e916407987746990096b204e;S Tondio Silk Satin Fire Dress;By Malene Birger;FJONG;4 - Minor defects;stoffet begynner å bli slitt og slitasje over ermene bør pensjoneres;3600;1000.0;True
2023-12-12;outfit.241022fcc99d497da06c08e99ce6f3e9;M Fiona Blazer Black Silver  crop;ROTATE;Oxholm;4 - Minor defects;Pennemerke ;1300;500.0;True
2024-01-25;outfit.2463e342a360415b8148b44368519252;Voile Bohemian Shirt;Forte Forte;Den Dama;4 - Minor defects;Krympet i rens - men fortsatt en str.S;1900;600.0;True
2023-08-30;outfit.2520676759bd47758b29a8512bb8b409;S Pink Alpaca Sweater;Urban Pioneers;Urban Pioneers;4 - Minor defects;Litt bruksmerker på blandt annet ermer.;1900;600.0;True
2023-09-15;outfit.254e2fd341124a79bf0f20196ebd37e7;3 Emberglow Flower Volume Shirt;Maud;Høyer;4 - Minor defects;Is streched over the arms, should go out of stock;2000;499.0;True
2024-01-25;outfit.266dce4381f04b03aaf3edf148cd2a3e;2 Painter Cecilie Shirt;Britt Sisseck;Høyer;4 - Minor defects;Has fabric discoloration on the lower left side of the skirt.;1200;350.0;True
2022-09-15;outfit.269a9d54e3b549339e04ce417061a152;Coal Issey Pant;Kupong knit.wear;Kupong knit.wear;4 - Minor defects;Wear and tear;1700;500.0;True
2024-01-25;outfit.269c4cf0423f4fe3b0305c24447fe1c8;Floral Ring My Bell Top;Høst & Vår;Høst & Vår;4 - Minor defects;wear and tear in fabric;4200;900.0;True
2023-10-31;outfit.26a6d5aa3fea4de08cb8723770250042;Sky Blue Fitted Pants;Gucci;Gunhild Stordalen;4 - Minor defects;Flekk som ikke går bort;1300;400.0;True
2024-01-25;outfit.26b00593f2f640beb2046d4cbbc5d047;Floral Ring My Bell Top;Høst & Vår;Høst & Vår;4 - Minor defects;Slitt langs nedre kant;5800;1700.0;True
;outfit.270d254f002a48f482baa0bb0c700d31;S Gloriosah Cream Blouse;By Malene Birger;Høyer;4 - Minor defects;Wear and tear, faded color;1500;450.0;True
2024-01-25;outfit.271d5f29910a40a98a7b49226d4b18d8;Terin ls Silver Top;Samsøe & Samsøe;FJONG;4 - Minor defects;Veldig slitt i stoffet, + ett hull under belte, sender på repair før den går til 3C;1800;500.0;False
2023-01-12;outfit.271e1d0e1253427b83abf7dead943c60;Simone Vanilla Custard Dress;FWSS;FWSS;4 - Minor defects;Flekk;700;250.0;False
2023-09-19;outfit.2739bdf215b24c19aa425915f94a9dee;Brigitte Shoulder Dress;MagMaLou;MagMaLou;4 - Minor defects;Flekk foran (små);1500;450.0;True
2023-05-15;outfit.27966c6c18124f63a9dcc55015ee70e4;Red Knitted Beanie;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;3 - Good condition;;2500;890.0;False
2024-01-25;outfit.2808d04f92e6449d93dd07dc098e4f4e;L1 Stratosphere Cold-Shoulder Top;Ghospell;For Ynde;4 - Minor defects;Hull langs nedre kant;2500;699.0;True
;outfit.2810ae4baded4b949ae5197afa54e91a;XS Stranda Skirt Yellow Stripe;Holzweiler;FJONG;4 - Minor defects;Wear and tear;2200;650.0;True
2023-09-15;outfit.28256fea7e9a477ebc136d3aa40861d9;White Judi Shirt;Ella&il;ella&il;4 - Minor defects;Stains in front (Small);1500;450.0;True
2023-05-15;outfit.289d776ab4654bca91f229223843cea1;S Feather Embroidery Contrast Dress;SoyaAulait;Soyaaulait;4 - Minor defects;Wear and tear;2500;600.0;True
2023-05-15;outfit.28a83fc7d67245ed8eadaa5dd4a5d354;S Dark Coral Sweater;Urban Pioneers;Urban Pioneers;4 - Minor defects;Discoloration in fabric (small stains, barely visible);5400;1500.0;True
2023-05-15;outfit.293a9e98118b430a8581ed862228b106;S Blossom Embroidery Raglan Sleeve Dress;SoyaAulait;Soyaaulait;4 - Minor defects;noe små flekker. ;2500;750.0;False
2023-09-19;outfit.2942d8a51f8f4f44aa8ab50dd0be2e22;Double Sandy Set;Maja Stabel;Maja Stabel;4 - Minor defects;Nupper;2100;500.0;True
2023-01-12;outfit.29a15040d786470dbaf8e45ac2dfaa12;2 Elenor Wrap Blouse;Creative Collective;Høyer;4 - Minor defects;Slitt;2500;750.0;False
2023-01-10;outfit.29d43c48eee84539b3e1597c9cd55194;XS Sonder Stripes Bente Blouse;FWSS;Villoid;4 - Minor defects;Slitt langs nedre kant;3200;950.0;True
2023-09-19;outfit.2a02ed29f6204423bfcd612ce3ea3d59;Sand Riot Blazer;Holzweiler;HOLZWEILER;4 - Minor defects;wear and tear;5400;1600.0;True
2023-05-15;outfit.2a4888e83fed40f78563fe0742b41f22;Drown Me Scarf Red;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;små flekker bak på skulder;1000;300.0;True
2023-01-10;outfit.2a4decf449b64584804dad1d704f4ef1;Bodil 2 Eden Dress;FWSS;FJONG;4 - Minor defects;Lite hull nederst på kjolen som er sydd igjen. ;600;200.0;True
2024-01-25;outfit.2a547eb9b6554b199325ccdb2b76fb36;1 Linnea Shirt;By Malene Birger;Høyer;4 - Minor defects;Liten flekk på albue. Nesten ikke synlig;600;200.0;True
2023-05-15;outfit.2a96b8b07db54dcab06808c21a854499;XS Blue Leona Tunic;SOYAAULAIT;Soyaaulait;4 - Minor defects;Slitt, mangler bånd;2500;850.0;True
2022-09-15;outfit.2b203ba6822b47d8bdc468d1a0b20d56;Emberglow Nell Top;Urban Pioneers;Urban Pioneers;4 - Minor defects;Falmet i fargen;2500;750.0;True
2022-09-09;outfit.2b203ba6822b47d8bdc468d1a0b20d56;Emberglow Nell Top;Urban Pioneers;Urban Pioneers;4 - Minor defects;Vært hull i rumpa som er sydd. Litt slitt ellers;1200;350.0;True
;outfit.2b518ac585a64196939bfeba67376f99;XS Brown Cotton Shirt;By Malene Birger;Høyer;4 - Minor defects;Litt slitt, små gule flekker foran. må vannbehandles;3800;1200.0;True
;outfit.2bc87a8186e9455fa4e3f8be4385ed03;S Satin Dress Clemence;By Malene Birger ;FJONG;4 - Minor defects;Flekk som ikke går bort;2400;1680.0;False
2023-05-15;outfit.2c34d063c6d844029003097d285c4a3c;XS Black Voss Skirt;Holzweiler;Holzweiler;4 - Minor defects;lite pennemerke på låret. ;2400;500.0;True
2023-09-15;outfit.2c41ad0bf3044e768df5508aeb05495c;Noemie Lemon Dot Midi Dress;Faithfull The Brand;FJONG;3 - Good condition;Wear and tear;2900;1499.0;False
2023-09-19;outfit.2c4583bd98d748f29b7f7fb1cf6c43c4;The Valentina Rust Spot Dress;Realisation Par;Phoebe Hveem;3 - Good condition;Wear and tear, piling.;2200;600.0;False
2023-01-10;outfit.2c77659458f34ee1a3eb887463a45688;Preslee Linen Trousers Blue;Acne Studios;Svean ;4 - Minor defects;Noe flekker bak som ikke gikk bort. Syntes ikke så godt.;2600;850.0;True
2024-01-25;outfit.2cc3d623cc8c417ca367eb43c72a5fa0;Valeria Tee;Karen By Simonsen;For Ynde;4 - Minor defects;liten flekk på armen. syntes nesten ikke;2200;1000.0;False
2023-05-15;outfit.2ce38eca85f447909fc7182e26fefb3e;S White Sleveless Faux Fur Jacket;SOYAAULAIT;Soyaaulait;4 - Minor defects;flekk bak som ikke går vekk. ;2000;449.0;False
2023-09-15;outfit.2d4ed8658aa045b29663902f1e0ce84a;Sonder Stripes Bente Blouse;FWSS;Villoid;4 - Minor defects;Utvasket;2700;699.0;True
2023-01-12;outfit.2da7929e7ce74d1496ceabe1352f5153;XS Night Sky Aideen Dress;By Malene Birger;FJONG;4 - Minor defects;Flekker på lår;1200;360.0;False
2023-05-15;outfit.2dfb6e55b7e949d08c177f65e676bf6c;XL Spring Dress Black;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;5 - Damaged;Fettflekker foran på venstre side, større flekk bak nederst midten;2900;350.0;False
2023-08-14;outfit.2e81990168f44991b1b95fe9995ddff5;M Angora Beyonce Blazer;Baum und Pferdgarten;Høyer;4 - Minor defects;Wear and tear;2500;300.0;True
2023-01-12;outfit.2e8a2e9f653c432085930e248ed9eaf8;S Gitte Broderie Anglaise Vanilla Custard Dress;FWSS;FWSS;4 - Minor defects;Small stains;1200;360.0;False
;outfit.2ead65a1ecf54c38a27bebc2bf47b9b1;M Bell Sleeve Winter Flowers Blouse;byTiMo;FJONG;1 - As new;;2100;799.0;False
2023-01-10;outfit.2f526cfbedb14475830b4b15fc4f0ee3;M Silk Blouse Asymmetrical Ruffle;Nina Jarebrink;FJONG;1 - As new;;2100;799.0;False
2023-01-10;outfit.2fa5e5fcf4164beda82708c8b4f3cee1;Pom Pom Knit;Maud;Høyer;4 - Minor defects;Litt slitasje. mangler belte;900;300.0;True
2023-10-31;outfit.2fac9258e5a64ac9a7658f54bd2056a8;Color Block Denim Dress;Céline;Gunhild Stordalen;;;1200;360.0;False
2023-09-19;outfit.2fb73cd21d0e417a8c4a6b5949259bef;Double Sandy Set;Maja Stabel;Maja Stabel;4 - Minor defects;slitt med små flekker.;2000;600.0;True
2023-09-19;outfit.2fec57c8ce224226b6049c8c34a99f91;Faye Shoulder Dress Black;MagMaLou;MagMaLou;4 - Minor defects;små flekker nederst. nesten ikke merkbart;2400;700.0;True
;outfit.304629da40fd4b5281bd92b2e5d9fcbe;Leonora Black Embellished Dress;MAUD;Høyer;4 - Minor defects;en flekk foran på bryst.;1899;600.0;True
2022-09-15;outfit.305bde2827b34ff192d1271ddb0e50bb;L Irina Aqua Haze Dress;FWSS;FJONG;4 - Minor defects;fhvit lekk bak på skjørt. ;2000;600.0;True
2024-01-25;outfit.30a3ca6bb1c44394be44eff0548ed968;Sena Halogen Dress;Samsøe & Samsøe;FJONG;4 - Minor defects;Litt flekker nederst på skjørt. Nestn ikke synlig;2600;849.0;False
2023-05-15;outfit.314b46ab70d9404681c9295ae789fef7;XS Mint Renè Dress;SOYAAULAIT;Soyaaulait;4 - Minor defects;Wear and tear;1900;500.0;True
;outfit.31db3530dd7749a5b342e0650a8c8b7a;L Mini Lace Cream;Line of Oslo;FJONG;4 - Minor defects;Flekker som ikke går bort;2500;700.0;True
2022-07-08;outfit.31edccd419de4fc5ae6aeb7eed4327ab;Kate Anthracite Top S;FWSS;FJONG;4 - Minor defects;wear and tear;2200;660.0;False
2023-09-19;outfit.31efeb03a0a147e79aa0a3b7d994badd;Faye Shoulder Dress Blue;MagMaLou;MagMaLou;4 - Minor defects;slitt;2100;400.0;True
2023-09-15;outfit.32b73de3615446609a7722cfcd3a6f26;Yellow Filene Bag;ILAG;ILAG;4 - Minor defects;wear and tear, missing belt;3300;699.0;True
2022-06-14;outfit.32bbe20e948d4839b63aa0f4b540b466;S Ditte Jacket Hushed;Samsøe Samsøe;FJONG;4 - Minor defects;små flekker på foran på skulder. Syntes nesten ikke.;3300;1100.0;True
2023-12-12;outfit.331b5ce0c92b4fd69e4f4f03e341b64a;M Albers Popcorn Sweater;Samsøe & Samsøe;FJONG;4 - Minor defects;Fleker rforan på skjørt som ikke går bort.;2000;750.0;True
2022-09-15;outfit.334b32157287403aab73d9cc978a93dd;XS Bright White Torunn Top;FWSS;Villoid;5 - Damaged;;5300;800.0;True
2024-01-25;outfit.335079379866436ab1ce47f8bb8d332d;Black Finse 2.0-2 lags Wind-jacket;Twentyfour;Villoid;5 - Damaged;Venstre ermet reparert for hull, samt pennemerke;3600;700.0;False
2024-01-25;outfit.33591fef8f974e2bbfa1726f192bfba5;2 Floral Haut Shirt;See by Chloe;Høyer;4 - Minor defects;;;;False
2023-09-19;outfit.335f4ee814084c619c1352435bd479ef;Black Gallè Mesh Top;SOYAAULAIT;Soyaaulait;4 - Minor defects;unremovable stains on the collar, wrist and the the front part.;1900;649.0;True
2023-05-15;outfit.33b2179ccaa44775a9c1594f0eef87e7;L Ecru Lenient Jumpsuit;Holzweiler;Holzweiler;4 - Minor defects;liten flekk foran. syntes ikke godt.;1200;400.0;True
2023-06-15;outfit.33c44fa9c1894165bfa3586ae85c1d00;M Elegant Lace Dress;byTiMo;FJONG;4 - Minor defects;missfarging på skulder foran og bak. flekker som ikke går bort;1900;349.0;True
2023-12-12;outfit.3434ac6ea6f947f88b27a6c7eae9fb53;L Isabella Merino Pants;Ella&Il;Villoid;4 - Minor defects;Flekker som ikke går bort.;2000;499.0;True
2023-05-15;outfit.3483a9d9b91b41e1bbac3e0cdc158b16;XL Navy Pinstriped Knee Length Skirt;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;3 - Good condition;small stain on the front, men jeg kan ikke finne den;900;300.0;False
2024-01-25;outfit.34b5981133484f33994eb0a57dac085f;Eternity Shirt;Karen By Simonsen;For Ynde;4 - Minor defects;litt flekkete foran. men helt fin;3300;800.0;False
2023-09-19;outfit.34e07517d69b44c09233084c49b4a83e;Bianca Lace Jumpsuit;MagMaLou;MagMaLou;4 - Minor defects;Penne merke;2000;200.0;True
2023-09-15;outfit.353d5f65327e4dc7a10203844a59c560;Les Fleurs Seafoam Midi Dress;Faithfull The Brand;FJONG;4 - Minor defects;Hatt hull i baken. fikset. syntes litt;1400;400.0;True
2023-05-15;outfit.3565bbaa39ab4e82b8d2e9d89010c0dc;S Blue Leona Pencil Skirt;SOYAAULAIT;Soyaaulait;4 - Minor defects;Hadde hull i arm som er sydd igjen. ;2200;600.0;False
;outfit.35851ee36d484e518a1fb80a71796d53;XL 1 Marjeta Blouse;Baum und Pferdgarten;Høyer;4 - Minor defects;STAIN ON LEFT ARM;2000;600.0;True
2023-05-15;outfit.35cb152d3f2841c2bc18e95b42c0f055;S Ash Carina Jacquard Top;SOYAAULAIT;Soyaaulait;4 - Minor defects;unremovable stain in front of the sweater;2000;500.0;True
2023-05-15;outfit.35df8ee26ea3461dbf593b1b4ea47d37;XS Green Voss Skirt;Holzweiler;Holzweiler;4 - Minor defects;unremovable stains;2000;549.0;True
2023-09-19;outfit.3605476e4b56488fa065f2d687b72b85;W's Pace Flex Shorts Sunset Orange;Houdini;Houdini;4 - Minor defects;Litt gul under armene. + wear and tear;2700;399.0;True
2024-01-25;outfit.3681a473314f4f11b01879318073b544;Offwhite Floral Top;By Malene Birger;Høyer;4 - Minor defects;chlorine stains in the back of the dress;1900;449.0;True
2024-01-25;outfit.368e920d06694dda9ff179ce225fd1d5;Black Wildi Blouse;By Malene Birger;Høyer;1 - As new;tror det bare er fordi den er en singlet;500;250.0;False
2024-01-25;outfit.36fdb2d880b8428285fc819797ae3172;3 Painter Cecilie Shirt;Britt Sisseck;Høyer;4 - Minor defects;Small unremovable stain in front;1900;500.0;True
2023-05-15;outfit.375735b28d4d49a591837603206a26f4;S Army Crochet Sweater;Urban Pioneers;Urban Pioneers;4 - Minor defects;Unremovable stains;1900;570.0;False
2023-09-15;outfit.377c94a136834819a9e2c77045837279;Blue Prestina Pants;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;;2200;700.0;True
2023-05-15;outfit.37b13947071947b69fa7e9e5aaf8c74d;S Smoke Bjørg Shaggy Cardigan;SOYAAULAIT;Soyaaulait;4 - Minor defects;;2100;750.0;True
2022-08-16;outfit.37baa82c25f84342a9ea50e3488889ce;Simone Vanilla Custard Dress;FWSS;FJONG;4 - Minor defects;;2900;900.0;True
2023-05-15;outfit.37f94b27ee7646dab1411a88a9f578e0;S Spring Short Dress Black;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;;600;300.0;True
2023-09-19;outfit.3803aea3bbe340dcad992ed59d4c2cad;Drew Dress;MagMaLou;MagMaLou;4 - Minor defects;;3300;900.0;True
2023-08-31;outfit.384a04174b8f4cbe97489c4a1f9fa556;XL Elen Bright White Dress;FWSS;FWSS;4 - Minor defects;Pen mark.;3000;800.0;False
2022-08-16;outfit.386e9ae700fb458fa73ea4d96a9db311;S Sand Eikebusk Trouser;Holzweiler;Holzweiler;4 - Minor defects;;2900;800.0;True
2023-08-31;outfit.3895e85d340f4339b7fef2e143e5e390;S Orange Flounce Dress;Victoria Beckham;FJONG;4 - Minor defects;;1200;400.0;True
;outfit.38b7b4869f994e83b08f345d1e3ebb28;S Blush wrap;Lulus;FJONG;4 - Minor defects;Unremovable stains;1800;399.0;True
2023-09-15;outfit.38c9df87fdf74c938ecc782f573a6915;Black Tia Linen Dress;Ella&il;ella&il;4 - Minor defects;unremovable stain in front;1800;540.0;True
2024-01-25;outfit.38d994cd5ff94c69be14eea92de06029;Dalvina Black Blouse;Levete Room;For Ynde;4 - Minor defects;Worn out (nupper);1700;350.0;True
2024-01-25;outfit.390d157276c243dd9bb9c7e80d440d07;C.L.E.A.N Dress Black;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;stains that cant be removed;3400;1020.0;True
2023-01-12;outfit.3921915bc69a4d5987c8a82cae88a964;M Green Haram Dress;Holzweiler;Holzweiler;1 - As new;tror det bare er fordi den er en singlet;500;250.0;False
;outfit.393f43fc57454e2dbda75a2e34d5b672;L 2 Butterfly Long Dress Aspen Gold;MAUD;Høyer;4 - Minor defects;Flekker som ikke går bort bak på skjørtet. Mangler en knapp;2000;449.0;True
2023-01-10;outfit.394d965b33b8430692c31984bf51e554;XL Bodil 2 Dress Eden Dress;FWSS;FJONG;4 - Minor defects;paljetter detter av;1500;450.0;True
2023-10-31;outfit.394da7e98f8a4531b64e45da73749eec;Linda Quetzal Green Top;Samsøe & Samsøe;FJONG;4 - Minor defects;Fargen har faded, litt mer grønnskjær;2800;800.0;True
2022-10-24;outfit.398089067b414b2d8d1c862f527936e2;M Layley Emerald Dress;Reformation;FJONG;4 - Minor defects;mørkere flekker på bryst. ;1800;500.0;True
2024-01-25;outfit.39b181c7c54a4e5187bdb7bdad7792df;Sunday Morning Midi Dress;byTiMo;Villoid;4 - Minor defects;Stygg reparasjon på ene ermet;1700;449.0;True
2023-06-15;outfit.39f6678e369b47c5adc9551d16f15c78;S Marjeta Blouse;Baum und Pferdgarten;Høyer;4 - Minor defects;Stain in front;1700;549.0;False
2023-08-31;outfit.3a174f6aec064071a6216f122061483d;S White Knitted Structures Sweater;Ami Amalia;Ami Amalia;4 - Minor defects;Svettelukt;2400;400.0;True
2023-05-10;outfit.3a3557e0b2c54ed3b44627203798f058;2XL The Wrap Dress, Black;AWAN;AWAN;4 - Minor defects;Vært sydd i skrittet et par ganger. Ser helt fin ut ellers. litt slitt i søm.;1650;495.0;False
2023-01-12;outfit.3a509855577e4b1e992f3d393fcf70d4;XS Bee Humble Oya Dress;Holzweiler;Holzweiler;4 - Minor defects; flekker ikke borte. selger.;900;300.0;True
2023-09-15;outfit.3acde9229dd040e09a80a645d4912c3f;Dazy Pants Black;Undorn;Undorn;4 - Minor defects;;2200;660.0;True
2023-05-10;outfit.3ae8377476ab4594b00bd3a7790e9549;L Tara Satin Pink Blouse;Line of Oslo;FJONG;4 - Minor defects;Discoloration;1900;449.0;True
;outfit.3b17efa43ae04df69134f54f492354d2;S Peach Stripe Oya Dress;Holzweiler;Holzweiler;4 - Minor defects;flekk på ene ermet.;1300;150.0;True
;outfit.3b756132543a45d4a94b9bebb0aaebfb;M Lace Skirt Sky Captain;Maud;FJONG;4 - Minor defects;små hvite flkker foraN PÅ SKJØRT. ikke så merkbart;1700;649.0;True
2023-01-10;outfit.3b8a8f44f52f4b92b4935f08f4d2b9d7;M Dove Dakota Blouse;Levete Room;For Ynde;4 - Minor defects;flekker som ikke går bort;2000;499.0;True
2023-09-19;outfit.3bd0846989404ef0ab5bcfa3aa73224f;Drew Dress;MagMaLou;MagMaLou;3 - Good condition;Liten flekk/lim fra henger;1800;449.0;False
2024-01-25;outfit.3bd3895e591d4b48bf8d65aa5099a4d5;Isadora Top Yellow Adele Floral Print;Faithfull The Brand;Den Dama;4 - Minor defects;wear and tear;15000;4500.0;False
2024-01-25;outfit.3bf31303950d46adaac9667abebbc50a;2 Linnea Shirt;By Malene Birger;Høyer;4 - Minor defects;møkkete nederst på benet, flekker nederst høyre bukseben;1900;450.0;False
2022-09-15;outfit.3c988d3862ec4bddb2d3ecb52bd7a87b;White Miriam Blouse;Urban Pioneers;Urban Pioneers;4 - Minor defects;Slitt i stoffet;1700;499.0;True
2023-12-12;outfit.3ca39a7438e141ff8f0ba18b67d92062;S Margit Broderie Anglais Bright White Dress;FWSS;FWSS;4 - Minor defects;flekker i skrittet (på innsiden);1100;400.0;True
2023-05-15;outfit.3cb32ed1719c4c9d885517a781cea52e;XS C.L.E.A.N Dress Grey;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;Massew hull -  Sender til reperasjon;900;300.0;False
2023-09-19;outfit.3ce016303b474839a95f7375cf891639;Powerful Brown Jacket;Line of Oslo;FJONG;3 - Good condition;wear and tear, ser helt ok ut;3400;1299.0;False
2023-09-19;outfit.3d05e7f7b4c24e6d9eb1b0c0bab74964;Black Stone Dress;Maja Stabel;Maja Stabel;4 - Minor defects;discoloration;1700;499.0;True
2022-07-12;outfit.3d85ec26973b4bcd9bed633adc0fb011;White Harley Midi Dress;Pia Tjelta;Villoid;4 - Minor defects;Små flekker bak på arm. Syntes nesten ikke;2900;800.0;True
2023-09-19;outfit.3e2c89b932744f1eb141b232937e9c67;Bianca Lace Jumpsuit;MagMaLou;MagMaLou;4 - Minor defects;Privat lender;900;300.0;False
;outfit.3edf878542114c6097b65a8a5492c4c2;XS 1 Emberglow Flower Volume Shirt;MAUD;Høyer;4 - Minor defects;Krympet til en M;1700;250.0;True
2023-05-15;outfit.3ef6d2dce9f4492d905e79441b02fb8d;S Spring Dress Grey;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;wear and tear;1500;450.0;False
2023-06-15;outfit.3effb4e5a788451a9d271d9a53090f01;XL Limon Niagara Wrap Dress ;Samsøe Samsøe;FJONG;4 - Minor defects;discoloration, missing belt;2200;449.0;True
2023-05-15;outfit.3f35389557f44f9b8d089622fabdea74;XS Ann-Karin Vintage Floral Skirt;FWSS;FWSS;4 - Minor defects;Wear and Tear (nupper);1700;400.0;True
2023-09-19;outfit.3f477cf009634da8af97fc1582318390;Vibeke Shirt Maxi Dress Green;MagMaLou;MagMaLou;4 - Minor defects;Farge falmet;1600;449.0;True
;outfit.3f51dbc828b74034899009dd1a0177b5;L Sotra Skirt Bee Humble Teal;Holzweiler;FJONG;4 - Minor defects;Unremovable stains;1600;480.0;False
2023-05-15;outfit.3f8e1a16f2c540258828a59d348c9442;S Blue Leona Tunic;SOYAAULAIT;Soyaaulait;4 - Minor defects;Reparert nederst i glidelås, ellers god stand;1500;449.0;False
2024-01-25;outfit.405535b690574718a29401db229cdc11;1 Vineyard Wind Butterfly Top;Maud;Høyer;4 - Minor defects;Litt flekker langs nedre kant;1500;449.0;True
2023-09-19;outfit.40b6cf02c59c41ef969a19d7aea84562;Double Sandy Set;Maja Stabel;Maja Stabel;4 - Minor defects;a small hole in the front and unremovable stains;1400;420.0;False
2023-06-15;outfit.40e245346b6147d49513cbb57d15bee3;S White Drew Dress;Urban Pioneers;Urban Pioneers;4 - Minor defects;Stains in front;1500;450.0;True
2024-01-25;outfit.413edc22ef4f4f0e8fc0cd171f8735d9;Pleated Arm Top Aspen Gold;Maud;Høyer;4 - Minor defects;Wear and Tear;1500;450.0;False
;outfit.41424c5222bb44c9890377a30487f2fc;XS Browery Striped Pants;Stylein;Høyer;4 - Minor defects;Unremovable stains;1300;390.0;True
2022-09-15;outfit.416e7be3f9ab45588e21addd8260e46d;;;AWAN;4 - Minor defects;VISIBLE STAINS ON THE LEFT BOTTOM ARM ;1900;600.0;True
2023-09-19;outfit.419687cbb0ea45008b118161d71c564a;Spring Dress Grey;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;Wear and tear;1400;499.0;True
;outfit.41ca0da61eca4b8aa37f606e7841e8bf;M Painter Cecilie Shirt;Britt Sisseck;Høyer;4 - Minor defects;unremovable stains;1400;399.0;True
2023-05-10;outfit.4238aa017620494dbe0724f9b8f8f702;L Havella Dress Yellow;Holzweiler;FJONG;4 - Minor defects;Flekker på ermer;1300;449.0;True
2023-09-15;outfit.43da3ebaecb3456db8f6989fead54bc7;Tie-Dye Trouser;Holzweiler;HOLZWEILER;4 - Minor defects;Flekker på ene omslag;1300;399.0;True
2023-09-15;outfit.44a34b733ba147379154a2e9693cc0ad;Bacopa Blue Bonnet Long Dress;Samsøe & Samsøe;FJONG;4 - Minor defects;Some yellow stains. not very visible;2800;800.0;True
2023-01-10;outfit.450644401c4e4c2890fc8d9b7897a2f8;M Navy Serena Linen Dress;ella&il;ella&il;5 - Damaged;krympet i vask, mer en S;1800;350.0;True
;outfit.451bac9041d04e6380d77a3f4fc7cc45;L Red Michello Sweater;By Malene Birger;Høyer;4 - Minor defects;Spjæla i sømmen midt på, må fikses;1400;400.0;True
2022-06-20;outfit.452c8e6090f8496c84609728a1147879;Niagara Lime Top;Samsøe Samsøe;FJONG;3 - Good condition;slitt på underarmene;2000;550.0;True
2024-01-25;outfit.4595fbf7e5f34cd5930aee22e63d7b1d;Lurex Silk Printed Top;Ganni;Høyer;4 - Minor defects;Wear and Tear, some small holes in tulle;1500;450.0;True
;outfit.460500dce5c944249932eecd198fddd7;S 3 Dante Dress Off White;IBEN;IBEN (Storheil Agency);4 - Minor defects;Unremovable stains;1200;150.0;True
;outfit.4618ef3a63e5411fbc194d124950aab5;XL Fanny Satin Maxi Pink Dress;Line of Oslo;FJONG;4 - Minor defects;unremovable stain, barely visible (see image);2800;840.0;False
2024-01-25;outfit.46566b8f0d3642eca8a615521739dc61;The Wrap Dress, Stormy Blue;AWAN;AWAN;4 - Minor defects;Unremovable stains on shoulder/arms;1300;399.0;True
2023-01-12;outfit.46796cfb57174c9cb04ef0489123a073;XS Victorian Organza Dress White;byTiMo;FJONG;4 - Minor defects;Stoffet er slitt;1200;200.0;True
2023-12-12;outfit.4688b412bce3457a9c1727fd38ab4a06;L Satin Trousers Black;By Malene Birger;FJONG;4 - Minor defects;Some stains, barely visible;2400;720.0;True
2023-09-19;outfit.46a57f02cc2144ddb20b38d581a12bb8;Faye Shoulder Dress Blue;MagMaLou;MagMaLou;4 - Minor defects;Wear and Tear, colour has faded;1800;540.0;False
2023-09-19;outfit.46d008fbf3d14ad491a44b5c617b8417;Drew Dress;MagMaLou;MagMaLou;4 - Minor defects;A few holes that has been repaired;1800;540.0;False
2023-09-19;outfit.470a1c0df40d47a583e80f1ca42d9212;Bianca Lace Jumpsuit;MagMaLou;MagMaLou;4 - Minor defects;Wear and Tear;1200;399.0;True
2023-12-12;outfit.471fa47a1ef745898ba066c52fa7e8d1;L JadelW Dress;InWear;Villoid;4 - Minor defects;Wear and Tear, pom poms fall off;2500;700.0;True
;outfit.47875ce75a2846c29607b0c39bf03327;S Semi Couture Smocking Winter Garden Dress;byTimo;FJONG;4 - Minor defects;;1200;349.0;True
2023-12-12;outfit.48259c9070d34070bbde5c7f32ae10f9;M Yellow Oda Jeans;Holzweiler;Holzweiler;4 - Minor defects;Wear and Tear (nupper);1100;330.0;True
;outfit.48abe912a1f740659e1a7d6edf0456a9;L Vanilla Custard Nicoline Skirt;FWSS;FJONG;4 - Minor defects;"""lukter svette"" (Merket ikke noe) men er litt slitt";900;150.0;True
