date_added;id;name;brand;owner;condition;condition_desctription;retail_price;tc_price;sold
2023-09-19;outfit.09a274c103524f30bd8e3fcc3cbab7c1;Chiara Seafoam Midi Dress;Faithfull The Brand;FJONG;5 - Damaged;;4500;900.0;False
2023-05-15;outfit.09e10a444340406da8d16883ca9ddd5a;XL Navy Knitted Vest Dress;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;5 - Damaged;;4500;900.0;False
2023-01-10;outfit.09f0b5ce052e4048ab142656ea9e82b2;1 Dante Dress Off White;IBEN;IBEN (Storheil Agency);5 - Damaged;;2200;440.0;False
2023-09-15;outfit.0aba6a0181244b909052de563879ca08;Signy Striped Shorts;FWSS;FWSS;5 - Damaged;;3400;680.0;False
2024-01-25;outfit.0abe40e33d26443f9edd93d78d4cb20e;S3 Cameron Dotted Blouse;Ganni;Høyer;5 - Damaged;;2600;520.0;False
2023-09-15;outfit.0ac56d1cc0a643c48ce188e68f8a6fee;Løvmeis Oversized Tee;ILAG;Qomo;5 - Damaged;;2900;580.0;False
2023-06-15;outfit.0b544c65a87645459ce9844f749e178f;M Satin Wrap Drawing Dress;byTiMo;FJONG;5 - Damaged;;1800;360.0;False
2023-09-19;outfit.0b5d348bcc9149d3b5b9b297bf008eda;Ceiling Block Print Aria Dress;Holzweiler;HOLZWEILER;5 - Damaged;;3500;700.0;False
2023-05-15;outfit.0b79d901b7984880a14b1056d6c8f7dc;S Green Voss Skirt;Holzweiler;Holzweiler;5 - Damaged;;3500;700.0;False
2023-09-19;outfit.0b7f8987b0b44a208cfe7f2ce5b35691;Faye Shoulder Dress Blue;MagMaLou;MagMaLou;5 - Damaged;;2300;460.0;False
2023-09-19;outfit.0b851632b47f44c2bb4e438c691d3f6d;Drew Dress;MagMaLou;MagMaLou;5 - Damaged;;3000;600.0;False
;outfit.0be9f27abad946bb85bf726761aa1042;L Kevin Skirt;Designers Remix;Høyer;5 - Damaged;;2400;480.0;False
;outfit.0c20133857c441f59e528b29387fed2b;Ella&Il;Hofmann Copenhagen;FJONG;5 - Damaged;;900;180.0;False
;outfit.0cac6908c7c84c2ab497ead9592357b9;XS 1 Cameron Dotted Blouse;Ganni;Høyer;5 - Damaged;;2000;400.0;False
;outfit.0d1682558d8e43fa830ad2846c3e9f46;XS Golden Glow Bianca Shirt;Second Female;Villoid;5 - Damaged;;1000;200.0;False
2023-01-10;outfit.0d500dc7edb74304b062649cbd3ce268;L Beige Mae Jumpsuit;Urban Pioneers;Urban Pioneers;5 - Damaged;;2900;580.0;False
2022-11-23;outfit.0d500dc7edb74304b062649cbd3ce268;S Pink Straight Trousers;Theory;HØYER;5 - Damaged;;1500;300.0;False
2023-05-15;outfit.0d9f8d1b979b440c95059e5072bbbe16;XS Lense Shorts;Holzweiler;Holzweiler;3 - Good condition;"synlig slitt på høyre side foran. Litt nuppete og ""tynt""";2400;600.0;True
